Date,ISO,Country,Status
02/07/2021,ABW,Aruba,Fully open
02/07/2021,AFG,Afghanistan,Closed due to COVID-19
02/07/2021,AGO,Angola,Academic break
02/07/2021,AIA,Anguilla,Fully open
02/07/2021,ALB,Albania,Academic break
02/07/2021,AND,Andorra,Academic break
02/07/2021,ARE,United Arab Emirates,Partially open
02/07/2021,ARG,Argentina,Partially open
02/07/2021,ARM,Armenia,Academic break
02/07/2021,ATG,Antigua and Barbuda,Academic break
02/07/2021,AUS,Australia,Academic break
02/07/2021,AUT,Austria,Partially open
02/07/2021,AZE,Azerbaijan,Academic break
02/07/2021,BDI,Burundi,Fully open
02/07/2021,BEL,Belgium,Academic break
02/07/2021,BEN,Benin,Academic break
02/07/2021,BFA,Burkina Faso,Fully open
02/07/2021,BGD,Bangladesh,Closed due to COVID-19
02/07/2021,BGR,Bulgaria,Academic break
02/07/2021,BHR,Bahrain,Academic break
02/07/2021,BHS,Bahamas,Academic break
02/07/2021,BIH,Bosnia and Herzegovina,Academic break
02/07/2021,BLR,Belarus,Academic break
02/07/2021,BLZ,Belize,Academic break
02/07/2021,BMU,Bermuda,Academic break
02/07/2021,BOL,Bolivia (Plurinational State of),Partially open
02/07/2021,BRA,Brazil,Partially open
02/07/2021,BRB,Barbados,Academic break
02/07/2021,BRN,Brunei Darussalam,Fully open
02/07/2021,BTN,Bhutan,Partially open
02/07/2021,BWA,Botswana,Fully open
02/07/2021,CAF,Central African republic,Academic break
02/07/2021,CAN,Canada,Academic break
02/07/2021,CHE,Switzerland,Fully open
02/07/2021,CHL,Chile,Partially open
02/07/2021,CHN,China,Fully open
02/07/2021,CIV,Cote d'Ivoire,Fully open
02/07/2021,CMR,Cameroon,Fully open
02/07/2021,COD,Democratic Republic of the Congo,Fully open
02/07/2021,COG,Congo,Academic break
02/07/2021,COK,Cook Islands,Fully open
02/07/2021,COL,Colombia,Partially open
02/07/2021,COM,Comoros,Fully open
02/07/2021,CPV,Cabo Verde,Academic break
02/07/2021,CRI,Costa Rica,Academic break
02/07/2021,CUB,Cuba,Partially open
02/07/2021,CUW,Curaçao,Fully open
02/07/2021,CYM,Cayman Islands,Academic break
02/07/2021,CYP,Cyprus,Academic break
02/07/2021,CZE,Czechia,Academic break
02/07/2021,DEU,Germany,Academic break
02/07/2021,DJI,Djibouti,Academic break
02/07/2021,DMA,Dominica,Fully open
02/07/2021,DNK,Denmark,Academic break
02/07/2021,DOM,Dominican Republic,Partially open
02/07/2021,DZA,Algeria,Fully open
02/07/2021,ECU,Ecuador,Partially open
02/07/2021,EGY,Egypt,Academic break
02/07/2021,ERI,Eritrea,Academic break
02/07/2021,ESP,Spain,Academic break
02/07/2021,EST,Estonia,Academic break
02/07/2021,ETH,Ethiopia,Fully open
02/07/2021,FIN,Finland,Academic break
02/07/2021,FJI,Fiji,Closed due to COVID-19
02/07/2021,FRA,France,Fully open
02/07/2021,FRO,Faroe Islands,Academic break
02/07/2021,FSM,Micronesia (Federated States of),Academic break
02/07/2021,GAB,Gabon,Fully open
02/07/2021,GBR,United Kingdom of Great Britain and Northern Ireland,Fully open
02/07/2021,GEO,Georgia,Academic break
02/07/2021,GHA,Ghana,Academic break
02/07/2021,GIB,Gibraltar,Fully open
02/07/2021,GIN,Guinea,Fully open
02/07/2021,GMB,Gambia,Fully open
02/07/2021,GNB,Guinea-Bissau,Fully open
02/07/2021,GNQ,Equatorial Guinea,Fully open
02/07/2021,GRC,Greece,Academic break
02/07/2021,GRD,Grenada,Academic break
02/07/2021,GRL,Greenland,Academic break
02/07/2021,GTM,Guatemala,Partially open
02/07/2021,GUY,Guyana,Academic break
02/07/2021,HND,Honduras,Closed due to COVID-19
02/07/2021,HRV,Croatia,Academic break
02/07/2021,HTI,Haiti,Academic break
02/07/2021,HUN,Hungary,Academic break
02/07/2021,IDN,Indonesia,Academic break
02/07/2021,IND,India,Partially open
02/07/2021,IRL,Ireland,Academic break
02/07/2021,IRN,Iran (Islamic Republic of),Academic break
02/07/2021,IRQ,Iraq,Academic break
02/07/2021,ISL,Iceland,Academic break
02/07/2021,ISR,Israel,Academic break
02/07/2021,ITA,Italy,Academic break
02/07/2021,JAM,Jamaica,Academic break
02/07/2021,JOR,Jordan,Academic break
02/07/2021,JPN,Japan,Fully open
02/07/2021,KAZ,Kazakhstan,Academic break
02/07/2021,KEN,Kenya,Fully open
02/07/2021,KGZ,Kyrgyzstan,Academic break
02/07/2021,KHM,Cambodia,Closed due to COVID-19
02/07/2021,KIR,Kiribati,Fully open
02/07/2021,KNA,Saint Kitts and Nevis,Closed due to COVID-19
02/07/2021,KOR,Republic of Korea,Partially open
02/07/2021,KWT,Kuwait,Closed due to COVID-19
02/07/2021,LAO,Lao PDR,Partially open
02/07/2021,LBN,Lebanon,Academic break
02/07/2021,LBR,Liberia,Fully open
02/07/2021,LBY,Libya,Partially open
02/07/2021,LCA,Saint Lucia,Partially open
02/07/2021,LIE,Liechtenstein,Fully open
02/07/2021,LKA,Sri Lanka,Closed due to COVID-19
02/07/2021,LSO,Lesotho,Academic break
02/07/2021,LTU,Lithuania,Academic break
02/07/2021,LUX,Luxembourg,Fully open
02/07/2021,LVA,Latvia,Academic break
02/07/2021,MAR,Morocco,Academic break
02/07/2021,MCO,Monaco,Academic break
02/07/2021,MDA,Republic of Moldova,Academic break
02/07/2021,MDG,Madagascar,Partially open
02/07/2021,MDV,Maldives,Academic break
02/07/2021,MEX,Mexico,Partially open
02/07/2021,MHL,Marshall Islands,Academic break
02/07/2021,MKD,North Macedonia,Academic break
02/07/2021,MLI,Mali,Fully open
02/07/2021,MLT,Malta,Academic break
02/07/2021,MMR,Myanmar,Partially open
02/07/2021,MNE,Montenegro,Academic break
02/07/2021,MNG,Mongolia,Academic break
02/07/2021,MOZ,Mozambique,Fully open
02/07/2021,MRT,Mauritania,Fully open
02/07/2021,MSR,Montserrat,Closed due to COVID-19
02/07/2021,MUS,Mauritius,Closed due to COVID-19
02/07/2021,MWI,Malawi,Fully open
02/07/2021,MYS,Malaysia,Closed due to COVID-19
02/07/2021,NAM,Namibia,Fully open
02/07/2021,NER,Niger,Academic break
02/07/2021,NGA,Nigeria,Fully open
02/07/2021,NIC,Nicaragua,Fully open
02/07/2021,NIU,Niue,Fully open
02/07/2021,NLD,Netherlands,Fully open
02/07/2021,NOR,Norway,Academic break
