Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
12/06/2021 12:00:00 AM,<12 Years,10.468246448509065,0.102,0.035
12/06/2021 12:00:00 AM,12 - 15 Years,10.422443209643706,0.596,0.497
12/06/2021 12:00:00 AM,16 - 17 Years,10.88373686679817,0.657,0.563
12/06/2021 12:00:00 AM,18 - 24 Years,11.86237085684609,0.691,0.574
12/06/2021 12:00:00 AM,25 - 39 Years,13.202042025597008,0.729,0.617
12/06/2021 12:00:00 AM,40 - 49 Years,12.011595219707528,0.81,0.7
12/06/2021 12:00:00 AM,50 - 64 Years,9.910329239694377,0.883,0.771
12/06/2021 12:00:00 AM,65 - 74 Years,6.493136529047106,0.999,0.888
12/06/2021 12:00:00 AM,75+ Years,7.316535830890376,0.979,0.835
12/05/2021 12:00:00 AM,<12 Years,13.830043922638108,0.102,0.035
12/05/2021 12:00:00 AM,12 - 15 Years,13.870109859436512,0.596,0.497
12/05/2021 12:00:00 AM,16 - 17 Years,14.2618641215926,0.657,0.563
12/05/2021 12:00:00 AM,18 - 24 Years,15.407420036118749,0.69,0.574
12/05/2021 12:00:00 AM,25 - 39 Years,17.350899406210804,0.729,0.617
12/05/2021 12:00:00 AM,40 - 49 Years,15.786809728600591,0.81,0.7
12/05/2021 12:00:00 AM,50 - 64 Years,12.966541922093429,0.883,0.771
12/05/2021 12:00:00 AM,65 - 74 Years,8.437387482679084,0.999,0.888
12/05/2021 12:00:00 AM,75+ Years,9.538278073904136,0.979,0.835
12/04/2021 12:00:00 AM,<12 Years,15.265969629002225,0.102,0.033
12/04/2021 12:00:00 AM,12 - 15 Years,15.273607457456725,0.596,0.497
12/04/2021 12:00:00 AM,16 - 17 Years,15.757129015606655,0.657,0.562
12/04/2021 12:00:00 AM,18 - 24 Years,17.060578721265635,0.69,0.574
12/04/2021 12:00:00 AM,25 - 39 Years,19.42986640400603,0.729,0.617
12/04/2021 12:00:00 AM,40 - 49 Years,17.693727090108094,0.81,0.7
12/04/2021 12:00:00 AM,50 - 64 Years,14.503502244470608,0.883,0.771
12/04/2021 12:00:00 AM,65 - 74 Years,9.397212942554557,0.999,0.888
12/04/2021 12:00:00 AM,75+ Years,10.69927686040801,0.979,0.835
12/03/2021 12:00:00 AM,<12 Years,16.021265955593996,0.1,0.028
12/03/2021 12:00:00 AM,12 - 15 Years,15.857899823278895,0.596,0.496
12/03/2021 12:00:00 AM,16 - 17 Years,16.394511516511265,0.657,0.562
12/03/2021 12:00:00 AM,18 - 24 Years,17.684117842143174,0.69,0.573
12/03/2021 12:00:00 AM,25 - 39 Years,20.38628832166368,0.728,0.617
12/03/2021 12:00:00 AM,40 - 49 Years,18.60147927891936,0.809,0.7
12/03/2021 12:00:00 AM,50 - 64 Years,15.259723047105524,0.882,0.771
12/03/2021 12:00:00 AM,65 - 74 Years,9.92187228584486,0.999,0.888
12/03/2021 12:00:00 AM,75+ Years,11.450140206027367,0.979,0.835
12/02/2021 12:00:00 AM,<12 Years,16.75603630875732,0.098,0.023
12/02/2021 12:00:00 AM,12 - 15 Years,16.427670302816008,0.595,0.495
12/02/2021 12:00:00 AM,16 - 17 Years,17.107690855361287,0.656,0.562
12/02/2021 12:00:00 AM,18 - 24 Years,18.242419359774992,0.689,0.573
12/02/2021 12:00:00 AM,25 - 39 Years,21.507566897385917,0.727,0.616
12/02/2021 12:00:00 AM,40 - 49 Years,19.76292021370598,0.808,0.699
12/02/2021 12:00:00 AM,50 - 64 Years,16.237974454656968,0.881,0.77
12/02/2021 12:00:00 AM,65 - 74 Years,10.602190464209977,0.999,0.887
12/02/2021 12:00:00 AM,75+ Years,12.416237022333126,0.978,0.835
12/01/2021 12:00:00 AM,<12 Years,16.070052327221035,0.096,0.019
12/01/2021 12:00:00 AM,12 - 15 Years,15.511083009647606,0.594,0.494
12/01/2021 12:00:00 AM,16 - 17 Years,16.292874847448097,0.656,0.561
12/01/2021 12:00:00 AM,18 - 24 Years,17.195308554055703,0.688,0.572
12/01/2021 12:00:00 AM,25 - 39 Years,20.531514161290364,0.726,0.615
12/01/2021 12:00:00 AM,40 - 49 Years,18.928511000337313,0.807,0.699
12/01/2021 12:00:00 AM,50 - 64 Years,15.54236936931521,0.88,0.77
12/01/2021 12:00:00 AM,65 - 74 Years,10.265848621664132,0.999,0.887
12/01/2021 12:00:00 AM,75+ Years,12.036248289069178,0.977,0.835
11/30/2021 12:00:00 AM,<12 Years,16.878597193576468,0.094,0.015
11/30/2021 12:00:00 AM,12 - 15 Years,16.00995251496946,0.594,0.493
11/30/2021 12:00:00 AM,16 - 17 Years,16.72698401022637,0.655,0.561
11/30/2021 12:00:00 AM,18 - 24 Years,17.919067761078832,0.686,0.571
11/30/2021 12:00:00 AM,25 - 39 Years,21.683611011119417,0.724,0.615
11/30/2021 12:00:00 AM,40 - 49 Years,20.11617116305994,0.805,0.698
11/30/2021 12:00:00 AM,50 - 64 Years,16.506318191887367,0.878,0.769
11/30/2021 12:00:00 AM,65 - 74 Years,10.959739232515334,0.999,0.886
11/30/2021 12:00:00 AM,75+ Years,12.88105718866892,0.976,0.834
11/29/2021 12:00:00 AM,<12 Years,16.906262636023506,0.092,0.011
11/29/2021 12:00:00 AM,12 - 15 Years,15.797249592323668,0.593,0.493
11/29/2021 12:00:00 AM,16 - 17 Years,16.454804455786025,0.655,0.56
11/29/2021 12:00:00 AM,18 - 24 Years,17.684590578398577,0.686,0.571
11/29/2021 12:00:00 AM,25 - 39 Years,21.57068103408414,0.723,0.614
11/29/2021 12:00:00 AM,40 - 49 Years,20.137784310412588,0.804,0.698
11/29/2021 12:00:00 AM,50 - 64 Years,16.43094583929812,0.877,0.768
11/29/2021 12:00:00 AM,65 - 74 Years,11.050929013281232,0.999,0.886
11/29/2021 12:00:00 AM,75+ Years,12.956774500832216,0.975,0.834
11/28/2021 12:00:00 AM,<12 Years,17.295066219660942,0.091,0.008
11/28/2021 12:00:00 AM,12 - 15 Years,15.930509254704164,0.592,0.492
11/28/2021 12:00:00 AM,16 - 17 Years,16.788999604908984,0.654,0.56
11/28/2021 12:00:00 AM,18 - 24 Years,17.69971813857149,0.685,0.57
11/28/2021 12:00:00 AM,25 - 39 Years,21.825881673776944,0.722,0.614
11/28/2021 12:00:00 AM,40 - 49 Years,20.536033123926973,0.803,0.697
11/28/2021 12:00:00 AM,50 - 64 Years,16.89839064044651,0.876,0.768
11/28/2021 12:00:00 AM,65 - 74 Years,11.545050383477841,0.999,0.885
11/28/2021 12:00:00 AM,75+ Years,13.58775210219302,0.974,0.833
11/27/2021 12:00:00 AM,<12 Years,17.801373564229355,0.09,0.006
11/27/2021 12:00:00 AM,12 - 15 Years,16.273909153915437,0.592,0.492
11/27/2021 12:00:00 AM,16 - 17 Years,17.21621814605586,0.654,0.56
11/27/2021 12:00:00 AM,18 - 24 Years,17.9025219921397,0.684,0.57
11/27/2021 12:00:00 AM,25 - 39 Years,22.059973906547267,0.722,0.613
11/27/2021 12:00:00 AM,40 - 49 Years,20.900976431684818,0.803,0.697
11/27/2021 12:00:00 AM,50 - 64 Years,17.205555679763542,0.876,0.768
11/27/2021 12:00:00 AM,65 - 74 Years,11.833464573807191,0.999,0.885
11/27/2021 12:00:00 AM,75+ Years,13.724463915821193,0.974,0.833
11/26/2021 12:00:00 AM,<12 Years,18.70659874021154,0.088,0.004
11/26/2021 12:00:00 AM,12 - 15 Years,17.00598306840316,0.592,0.491
11/26/2021 12:00:00 AM,16 - 17 Years,17.827760815842712,0.654,0.559
11/26/2021 12:00:00 AM,18 - 24 Years,18.388967598950153,0.684,0.57
11/26/2021 12:00:00 AM,25 - 39 Years,22.639821844707843,0.721,0.613
11/26/2021 12:00:00 AM,40 - 49 Years,21.377174301225153,0.802,0.697
11/26/2021 12:00:00 AM,50 - 64 Years,17.693432745168057,0.875,0.768
11/26/2021 12:00:00 AM,65 - 74 Years,12.19483058874926,0.999,0.885
11/26/2021 12:00:00 AM,75+ Years,13.920066972243044,0.973,0.833
11/25/2021 12:00:00 AM,<12 Years,20.249913959730293,0.087,0.003
11/25/2021 12:00:00 AM,12 - 15 Years,18.649518904429264,0.591,0.491
11/25/2021 12:00:00 AM,16 - 17 Years,18.98366259451026,0.653,0.559
11/25/2021 12:00:00 AM,18 - 24 Years,19.398732240492542,0.683,0.569
11/25/2021 12:00:00 AM,25 - 39 Years,23.775031968998913,0.72,0.613
11/25/2021 12:00:00 AM,40 - 49 Years,22.477318932864097,0.802,0.696
11/25/2021 12:00:00 AM,50 - 64 Years,18.591771296962218,0.874,0.767
11/25/2021 12:00:00 AM,65 - 74 Years,12.74748307404212,0.999,0.885
11/25/2021 12:00:00 AM,75+ Years,14.496359848152576,0.973,0.833
11/24/2021 12:00:00 AM,<12 Years,22.60772360311998,0.087,0.003
11/24/2021 12:00:00 AM,12 - 15 Years,21.07381968542827,0.591,0.491
11/24/2021 12:00:00 AM,16 - 17 Years,21.149040442178084,0.653,0.559
11/24/2021 12:00:00 AM,18 - 24 Years,21.667866266430508,0.683,0.569
11/24/2021 12:00:00 AM,25 - 39 Years,26.249148344383,0.72,0.612
11/24/2021 12:00:00 AM,40 - 49 Years,24.805515510802746,0.802,0.696
11/24/2021 12:00:00 AM,50 - 64 Years,20.53805797993704,0.874,0.767
11/24/2021 12:00:00 AM,65 - 74 Years,14.047043484584961,0.999,0.885
11/24/2021 12:00:00 AM,75+ Years,15.812298690101716,0.973,0.833
11/23/2021 12:00:00 AM,<12 Years,23.462377540220476,0.084,0.003
11/23/2021 12:00:00 AM,12 - 15 Years,22.14416812749724,0.59,0.49
11/23/2021 12:00:00 AM,16 - 17 Years,22.344563295226184,0.653,0.559
11/23/2021 12:00:00 AM,18 - 24 Years,22.093328896293876,0.682,0.569
11/23/2021 12:00:00 AM,25 - 39 Years,26.761660464460853,0.719,0.612
11/23/2021 12:00:00 AM,40 - 49 Years,25.120854873816807,0.801,0.696
11/23/2021 12:00:00 AM,50 - 64 Years,20.80526659137544,0.873,0.767
11/23/2021 12:00:00 AM,65 - 74 Years,14.271412759120588,0.999,0.885
11/23/2021 12:00:00 AM,75+ Years,15.937793124150145,0.972,0.833
11/22/2021 12:00:00 AM,<12 Years,24.349159087904635,0.081,0.003
11/22/2021 12:00:00 AM,12 - 15 Years,23.071006163925684,0.589,0.49
11/22/2021 12:00:00 AM,16 - 17 Years,23.166269924770777,0.652,0.558
11/22/2021 12:00:00 AM,18 - 24 Years,22.619484348558238,0.681,0.568
11/22/2021 12:00:00 AM,25 - 39 Years,27.4424065877109,0.718,0.611
11/22/2021 12:00:00 AM,40 - 49 Years,25.73877829976796,0.8,0.695
11/22/2021 12:00:00 AM,50 - 64 Years,21.331964958866582,0.872,0.766
11/22/2021 12:00:00 AM,65 - 74 Years,14.63786843624494,0.999,0.884
11/22/2021 12:00:00 AM,75+ Years,16.370363324194162,0.971,0.832
11/21/2021 12:00:00 AM,<12 Years,25.15621656488119,0.077,0.003
11/21/2021 12:00:00 AM,12 - 15 Years,24.14904266343969,0.588,0.489
11/21/2021 12:00:00 AM,16 - 17 Years,24.213644412743758,0.652,0.558
11/21/2021 12:00:00 AM,18 - 24 Years,23.582920837071065,0.68,0.568
11/21/2021 12:00:00 AM,25 - 39 Years,28.21687403769675,0.717,0.611
11/21/2021 12:00:00 AM,40 - 49 Years,26.489569434854246,0.798,0.694
11/21/2021 12:00:00 AM,50 - 64 Years,21.872965911337015,0.871,0.766
11/21/2021 12:00:00 AM,65 - 74 Years,14.934765396878094,0.999,0.884
11/21/2021 12:00:00 AM,75+ Years,17.206058102885358,0.97,0.832
11/20/2021 12:00:00 AM,<12 Years,25.298113511625683,0.076,0.003
11/20/2021 12:00:00 AM,12 - 15 Years,24.339535642355397,0.588,0.489
11/20/2021 12:00:00 AM,16 - 17 Years,24.258433453347866,0.651,0.558
11/20/2021 12:00:00 AM,18 - 24 Years,23.5375381565523,0.679,0.567
11/20/2021 12:00:00 AM,25 - 39 Years,28.173179635367212,0.716,0.61
11/20/2021 12:00:00 AM,40 - 49 Years,26.471853740302898,0.798,0.694
11/20/2021 12:00:00 AM,50 - 64 Years,21.765810036571573,0.87,0.765
11/20/2021 12:00:00 AM,65 - 74 Years,14.918223994785675,0.999,0.884
11/20/2021 12:00:00 AM,75+ Years,17.136650566735668,0.97,0.832
11/19/2021 12:00:00 AM,<12 Years,25.217199529414987,0.071,0.003
11/19/2021 12:00:00 AM,12 - 15 Years,24.317325698625318,0.587,0.488
11/19/2021 12:00:00 AM,16 - 17 Years,24.24292955467721,0.651,0.557
11/19/2021 12:00:00 AM,18 - 24 Years,23.40848115882708,0.679,0.567
11/19/2021 12:00:00 AM,25 - 39 Years,28.106054901353723,0.716,0.61
11/19/2021 12:00:00 AM,40 - 49 Years,26.536693182360846,0.797,0.694
11/19/2021 12:00:00 AM,50 - 64 Years,21.784426099560484,0.869,0.765
11/19/2021 12:00:00 AM,65 - 74 Years,14.94494472124266,0.999,0.883
11/19/2021 12:00:00 AM,75+ Years,17.20115049931922,0.969,0.832
11/18/2021 12:00:00 AM,<12 Years,25.16960306929105,0.066,0.003
11/18/2021 12:00:00 AM,12 - 15 Years,24.36089135748048,0.586,0.488
11/18/2021 12:00:00 AM,16 - 17 Years,24.453093514434947,0.65,0.557
11/18/2021 12:00:00 AM,18 - 24 Years,23.471827817051185,0.678,0.566
11/18/2021 12:00:00 AM,25 - 39 Years,27.95111919454271,0.714,0.609
11/18/2021 12:00:00 AM,40 - 49 Years,26.411974692719326,0.796,0.693
11/18/2021 12:00:00 AM,50 - 64 Years,21.688167432398313,0.868,0.764
11/18/2021 12:00:00 AM,65 - 74 Years,15.006868944460432,0.999,0.883
11/18/2021 12:00:00 AM,75+ Years,17.154177722329024,0.968,0.831
11/17/2021 12:00:00 AM,<12 Years,24.588628777903207,0.062,0.003
11/17/2021 12:00:00 AM,12 - 15 Years,23.673237330452924,0.585,0.487
11/17/2021 12:00:00 AM,16 - 17 Years,23.951800790750514,0.65,0.556
11/17/2021 12:00:00 AM,18 - 24 Years,22.79014213675899,0.677,0.566
11/17/2021 12:00:00 AM,25 - 39 Years,27.172852231310806,0.713,0.608
11/17/2021 12:00:00 AM,40 - 49 Years,25.711496130158878,0.795,0.692
11/17/2021 12:00:00 AM,50 - 64 Years,21.05612939140894,0.867,0.764
11/17/2021 12:00:00 AM,65 - 74 Years,14.643382236942413,0.999,0.882
11/17/2021 12:00:00 AM,75+ Years,16.82957480074008,0.966,0.831
11/16/2021 12:00:00 AM,<12 Years,24.856061388224596,0.058,0.003
11/16/2021 12:00:00 AM,12 - 15 Years,23.891065624728732,0.584,0.487
11/16/2021 12:00:00 AM,16 - 17 Years,24.192972547849553,0.649,0.556
11/16/2021 12:00:00 AM,18 - 24 Years,22.96458181500297,0.676,0.565
11/16/2021 12:00:00 AM,25 - 39 Years,27.14456696603468,0.712,0.608
11/16/2021 12:00:00 AM,40 - 49 Years,25.837277561473474,0.794,0.692
11/16/2021 12:00:00 AM,50 - 64 Years,21.141036800651044,0.866,0.763
11/16/2021 12:00:00 AM,65 - 74 Years,14.651440868731028,0.999,0.882
11/16/2021 12:00:00 AM,75+ Years,16.976101821500528,0.965,0.83
11/15/2021 12:00:00 AM,<12 Years,24.45446625592885,0.055,0.003
11/15/2021 12:00:00 AM,12 - 15 Years,23.69203035976299,0.583,0.486
11/15/2021 12:00:00 AM,16 - 17 Years,23.950078135342665,0.648,0.556
11/15/2021 12:00:00 AM,18 - 24 Years,22.714977072149793,0.675,0.564
11/15/2021 12:00:00 AM,25 - 39 Years,26.53812243515178,0.711,0.607
11/15/2021 12:00:00 AM,40 - 49 Years,25.199158243733784,0.793,0.691
11/15/2021 12:00:00 AM,50 - 64 Years,20.588457565102143,0.865,0.763
11/15/2021 12:00:00 AM,65 - 74 Years,14.260385157725642,0.999,0.881
11/15/2021 12:00:00 AM,75+ Years,16.4818360337679,0.963,0.83
11/14/2021 12:00:00 AM,<12 Years,23.87408692029255,0.051,0.003
11/14/2021 12:00:00 AM,12 - 15 Years,23.006939018550447,0.582,0.485
11/14/2021 12:00:00 AM,16 - 17 Years,22.964719242052293,0.648,0.555
11/14/2021 12:00:00 AM,18 - 24 Years,21.939216877032255,0.674,0.564
11/14/2021 12:00:00 AM,25 - 39 Years,25.509298681750018,0.71,0.606
11/14/2021 12:00:00 AM,40 - 49 Years,24.220188962826086,0.792,0.691
11/14/2021 12:00:00 AM,50 - 64 Years,19.66877864841825,0.864,0.762
11/14/2021 12:00:00 AM,65 - 74 Years,13.70137059470493,0.999,0.881
11/14/2021 12:00:00 AM,75+ Years,15.374820886491559,0.962,0.829
11/13/2021 12:00:00 AM,<12 Years,23.7188034691382,0.048,0.003
11/13/2021 12:00:00 AM,12 - 15 Years,22.901014671530053,0.582,0.485
11/13/2021 12:00:00 AM,16 - 17 Years,22.82518415401642,0.647,0.555
11/13/2021 12:00:00 AM,18 - 24 Years,21.85317887854877,0.674,0.564
11/13/2021 12:00:00 AM,25 - 39 Years,25.29145992231,0.71,0.606
11/13/2021 12:00:00 AM,40 - 49 Years,23.995199642023916,0.792,0.69
11/13/2021 12:00:00 AM,50 - 64 Years,19.43562381074006,0.863,0.762
11/13/2021 12:00:00 AM,65 - 74 Years,13.514749648021233,0.999,0.881
11/13/2021 12:00:00 AM,75+ Years,15.400059990545993,0.962,0.829
11/12/2021 12:00:00 AM,<12 Years,23.396337451798505,0.041,0.003
11/12/2021 12:00:00 AM,12 - 15 Years,22.693437120514286,0.581,0.485
11/12/2021 12:00:00 AM,16 - 17 Years,22.818293532385017,0.647,0.555
11/12/2021 12:00:00 AM,18 - 24 Years,21.68772118915746,0.673,0.563
11/12/2021 12:00:00 AM,25 - 39 Years,24.86591443875277,0.709,0.606
11/12/2021 12:00:00 AM,40 - 49 Years,23.53955197816315,0.791,0.69
11/12/2021 12:00:00 AM,50 - 64 Years,18.989973424798197,0.863,0.762
11/12/2021 12:00:00 AM,65 - 74 Years,13.234394089480494,0.999,0.88
11/12/2021 12:00:00 AM,75+ Years,15.163793933147558,0.961,0.829
11/11/2021 12:00:00 AM,<12 Years,23.04144634599938,0.035,0.003
11/11/2021 12:00:00 AM,12 - 15 Years,22.351745678513016,0.58,0.484
