Date Administered,AgeGroupVacc,7-day_avg_group_cases_per_100k,Administered_Dose1_pct_agegroup,Series_Complete_Pop_pct_agegroup
12/14/2020 12:00:00 AM,<12 Years,21.990457010887628,,
12/14/2020 12:00:00 AM,12 - 15 Years,38.29677681950223,,
12/14/2020 12:00:00 AM,16 - 17 Years,51.75718172886213,,
12/14/2020 12:00:00 AM,18 - 24 Years,66.14856600987937,,
12/14/2020 12:00:00 AM,25 - 39 Years,64.43826706446782,,
12/14/2020 12:00:00 AM,40 - 49 Years,63.537338508423126,,
12/14/2020 12:00:00 AM,50 - 64 Years,55.711065771059076,,
12/14/2020 12:00:00 AM,65 - 74 Years,39.42197843287037,,
12/14/2020 12:00:00 AM,75+ Years,53.568596183084686,,
12/15/2020 12:00:00 AM,<12 Years,21.858971789795245,,
12/15/2020 12:00:00 AM,12 - 15 Years,38.419785738622686,,
12/15/2020 12:00:00 AM,16 - 17 Years,51.10429532928687,,
12/15/2020 12:00:00 AM,18 - 24 Years,65.52408141649103,,
12/15/2020 12:00:00 AM,25 - 39 Years,64.08026848306253,,
12/15/2020 12:00:00 AM,40 - 49 Years,63.33573390442874,,
12/15/2020 12:00:00 AM,50 - 64 Years,55.70175773956462,,
12/15/2020 12:00:00 AM,65 - 74 Years,39.375747334714625,,
12/15/2020 12:00:00 AM,75+ Years,53.41225395519194,,
12/16/2020 12:00:00 AM,<12 Years,21.635863382964278,0,0
12/16/2020 12:00:00 AM,12 - 15 Years,37.801324228600386,0,0
12/16/2020 12:00:00 AM,16 - 17 Years,50.20334655098117,0,0
12/16/2020 12:00:00 AM,18 - 24 Years,64.36824127202888,0,0
12/16/2020 12:00:00 AM,25 - 39 Years,63.0134495972003,0,0
12/16/2020 12:00:00 AM,40 - 49 Years,62.65474260587478,0,0
12/16/2020 12:00:00 AM,50 - 64 Years,55.195037586012795,0,0
12/16/2020 12:00:00 AM,65 - 74 Years,38.98299506964849,0,0
12/16/2020 12:00:00 AM,75+ Years,52.51065707146973,0,0
12/17/2020 12:00:00 AM,<12 Years,21.38449457793472,0,0
12/17/2020 12:00:00 AM,12 - 15 Years,37.230699520458266,0,0
12/17/2020 12:00:00 AM,16 - 17 Years,49.662432752916175,0,0
12/17/2020 12:00:00 AM,18 - 24 Years,63.69270116305693,0,0
12/17/2020 12:00:00 AM,25 - 39 Years,62.59972482151966,0,0
12/17/2020 12:00:00 AM,40 - 49 Years,62.3535757985018,0,0
12/17/2020 12:00:00 AM,50 - 64 Years,54.89990488009103,0,0
12/17/2020 12:00:00 AM,65 - 74 Years,38.60551179112919,0,0
12/17/2020 12:00:00 AM,75+ Years,51.910527263953234,0,0
12/18/2020 12:00:00 AM,<12 Years,21.107245197712764,0,0
12/18/2020 12:00:00 AM,12 - 15 Years,36.73097578653142,0,0
12/18/2020 12:00:00 AM,16 - 17 Years,49.126686921074736,0,0
12/18/2020 12:00:00 AM,18 - 24 Years,62.955705340882496,0,0
12/18/2020 12:00:00 AM,25 - 39 Years,62.05491683885041,0,0
12/18/2020 12:00:00 AM,40 - 49 Years,61.792342595114974,0,0
12/18/2020 12:00:00 AM,50 - 64 Years,54.527129569996006,0,0
12/18/2020 12:00:00 AM,65 - 74 Years,38.37987010104799,0,0
12/18/2020 12:00:00 AM,75+ Years,51.45622339097347,0,0
12/19/2020 12:00:00 AM,<12 Years,20.954044091688836,0,0
12/19/2020 12:00:00 AM,12 - 15 Years,36.50118829178556,0,0
12/19/2020 12:00:00 AM,16 - 17 Years,48.77698787328112,0,0
12/19/2020 12:00:00 AM,18 - 24 Years,62.39645835073987,0,0
12/19/2020 12:00:00 AM,25 - 39 Years,61.74926710661287,0.001,0
12/19/2020 12:00:00 AM,40 - 49 Years,61.34803297576707,0.001,0
12/19/2020 12:00:00 AM,50 - 64 Years,54.264915512042435,0.001,0
12/19/2020 12:00:00 AM,65 - 74 Years,38.26026303976435,0,0
12/19/2020 12:00:00 AM,75+ Years,51.27043554168389,0,0
12/20/2020 12:00:00 AM,<12 Years,20.829698339615042,0,0
12/20/2020 12:00:00 AM,12 - 15 Years,36.14241227768423,0,0
12/20/2020 12:00:00 AM,16 - 17 Years,48.26191390633388,0,0
12/20/2020 12:00:00 AM,18 - 24 Years,62.01921481892769,0.001,0
12/20/2020 12:00:00 AM,25 - 39 Years,61.398867551699674,0.002,0
12/20/2020 12:00:00 AM,40 - 49 Years,60.87289804789982,0.003,0
12/20/2020 12:00:00 AM,50 - 64 Years,54.13800844849608,0.002,0
12/20/2020 12:00:00 AM,65 - 74 Years,38.41040807414168,0.001,0
12/20/2020 12:00:00 AM,75+ Years,51.40083757929846,0,0
12/21/2020 12:00:00 AM,<12 Years,20.505149977144924,0,0
12/21/2020 12:00:00 AM,12 - 15 Years,35.23009612754084,0,0
12/21/2020 12:00:00 AM,16 - 17 Years,47.33167998609473,0,0
12/21/2020 12:00:00 AM,18 - 24 Years,61.05152370411623,0.001,0
12/21/2020 12:00:00 AM,25 - 39 Years,60.55305368631583,0.003,0
12/21/2020 12:00:00 AM,40 - 49 Years,59.972940764691145,0.003,0
12/21/2020 12:00:00 AM,50 - 64 Years,53.59836964697605,0.003,0
12/21/2020 12:00:00 AM,65 - 74 Years,38.122418022327516,0.001,0
12/21/2020 12:00:00 AM,75+ Years,50.883435946182594,0,0
12/22/2020 12:00:00 AM,<12 Years,21.025438781874747,0,0
12/22/2020 12:00:00 AM,12 - 15 Years,36.243211253074605,0,0
12/22/2020 12:00:00 AM,16 - 17 Years,49.69860851648104,0,0
12/22/2020 12:00:00 AM,18 - 24 Years,65.16385638987339,0.001,0
12/22/2020 12:00:00 AM,25 - 39 Years,64.2976850743641,0.004,0
12/22/2020 12:00:00 AM,40 - 49 Years,63.99475774173902,0.004,0
12/22/2020 12:00:00 AM,50 - 64 Years,57.53521291881397,0.003,0
12/22/2020 12:00:00 AM,65 - 74 Years,41.122349740267964,0.001,0
12/22/2020 12:00:00 AM,75+ Years,54.55502449987874,0,0
12/23/2020 12:00:00 AM,<12 Years,20.902282941304048,0,0
12/23/2020 12:00:00 AM,12 - 15 Years,36.1082431334841,0,0
12/23/2020 12:00:00 AM,16 - 17 Years,49.59008122578647,0,0
12/23/2020 12:00:00 AM,18 - 24 Years,65.00596248056854,0.001,0
12/23/2020 12:00:00 AM,25 - 39 Years,64.15351465508354,0.005,0
12/23/2020 12:00:00 AM,40 - 49 Years,64.07376973943805,0.005,0
12/23/2020 12:00:00 AM,50 - 64 Years,57.731816705989544,0.004,0
12/23/2020 12:00:00 AM,65 - 74 Years,41.57829864409745,0.002,0
12/23/2020 12:00:00 AM,75+ Years,54.96726319943446,0,0
12/24/2020 12:00:00 AM,<12 Years,19.836419712403565,0,0
12/24/2020 12:00:00 AM,12 - 15 Years,34.475812269323036,0,0
12/24/2020 12:00:00 AM,16 - 17 Years,47.59696891890368,0,0
12/24/2020 12:00:00 AM,18 - 24 Years,62.64369941231603,0.002,0
12/24/2020 12:00:00 AM,25 - 39 Years,62.0063675029287,0.007,0
12/24/2020 12:00:00 AM,40 - 49 Years,62.131066674936825,0.007,0
12/24/2020 12:00:00 AM,50 - 64 Years,56.4173410388457,0.006,0
12/24/2020 12:00:00 AM,65 - 74 Years,40.97814264510329,0.002,0
12/24/2020 12:00:00 AM,75+ Years,53.769807929296405,0.001,0
12/25/2020 12:00:00 AM,<12 Years,18.147637811631018,0,0
12/25/2020 12:00:00 AM,12 - 15 Years,31.68163050235766,0,0
12/25/2020 12:00:00 AM,16 - 17 Years,44.039685501692816,0,0
12/25/2020 12:00:00 AM,18 - 24 Years,58.190996622668195,0.002,0
12/25/2020 12:00:00 AM,25 - 39 Years,57.77434299904032,0.009,0
12/25/2020 12:00:00 AM,40 - 49 Years,57.99409768330516,0.01,0
12/25/2020 12:00:00 AM,50 - 64 Years,52.78630065537441,0.008,0
12/25/2020 12:00:00 AM,65 - 74 Years,38.671253260983676,0.003,0
12/25/2020 12:00:00 AM,75+ Years,50.87642508394526,0.001,0
12/26/2020 12:00:00 AM,<12 Years,18.285072590238894,0,0
12/26/2020 12:00:00 AM,12 - 15 Years,31.778158334723024,0,0
12/26/2020 12:00:00 AM,16 - 17 Years,44.673622691781716,0,0
12/26/2020 12:00:00 AM,18 - 24 Years,59.33596383325606,0.003,0
12/26/2020 12:00:00 AM,25 - 39 Years,58.687281598437664,0.01,0
12/26/2020 12:00:00 AM,40 - 49 Years,59.022670908956634,0.011,0
12/26/2020 12:00:00 AM,50 - 64 Years,53.60268312498568,0.009,0
12/26/2020 12:00:00 AM,65 - 74 Years,39.32145760477028,0.004,0
12/26/2020 12:00:00 AM,75+ Years,51.58031565257442,0.002,0
12/27/2020 12:00:00 AM,<12 Years,18.389784802511564,0,0
12/27/2020 12:00:00 AM,12 - 15 Years,32.13864280603436,0,0
12/27/2020 12:00:00 AM,16 - 17 Years,45.214536489846715,0,0
12/27/2020 12:00:00 AM,18 - 24 Years,60.671916491027034,0.003,0
12/27/2020 12:00:00 AM,25 - 39 Years,59.7958951300064,0.01,0
12/27/2020 12:00:00 AM,40 - 49 Years,60.1479718268585,0.011,0
12/27/2020 12:00:00 AM,50 - 64 Years,54.29215853105061,0.009,0
12/27/2020 12:00:00 AM,65 - 74 Years,39.831272100028926,0.004,0
12/27/2020 12:00:00 AM,75+ Years,52.153804183589024,0.002,0
12/28/2020 12:00:00 AM,<12 Years,18.8383814391797,0,0
12/28/2020 12:00:00 AM,12 - 15 Years,33.196177819028286,0,0
12/28/2020 12:00:00 AM,16 - 17 Years,46.86656302597515,0,0
12/28/2020 12:00:00 AM,18 - 24 Years,63.634554603642286,0.003,0
12/28/2020 12:00:00 AM,25 - 39 Years,62.56764004299749,0.011,0
12/28/2020 12:00:00 AM,40 - 49 Years,62.44109132958548,0.012,0
12/28/2020 12:00:00 AM,50 - 64 Years,56.13605686758642,0.01,0
12/28/2020 12:00:00 AM,65 - 74 Years,41.099870398962885,0.004,0
12/28/2020 12:00:00 AM,75+ Years,53.46483542197202,0.002,0
12/29/2020 12:00:00 AM,<12 Years,18.80952608522956,0,0
12/29/2020 12:00:00 AM,12 - 15 Years,32.633241168331196,0,0
12/29/2020 12:00:00 AM,16 - 17 Years,45.49188401051062,0,0
12/29/2020 12:00:00 AM,18 - 24 Years,61.766300922286696,0.003,0
12/29/2020 12:00:00 AM,25 - 39 Years,60.91063009958266,0.011,0
12/29/2020 12:00:00 AM,40 - 49 Years,60.00447470099256,0.012,0
12/29/2020 12:00:00 AM,50 - 64 Years,53.61516950869776,0.01,0
12/29/2020 12:00:00 AM,65 - 74 Years,39.195488465758785,0.004,0
12/29/2020 12:00:00 AM,75+ Years,50.70045244178797,0.002,0
12/30/2020 12:00:00 AM,<12 Years,19.854863340701595,0,0
12/30/2020 12:00:00 AM,12 - 15 Years,34.16231037128687,0,0
12/30/2020 12:00:00 AM,16 - 17 Years,47.44365258760501,0,0
12/30/2020 12:00:00 AM,18 - 24 Years,65.08821858900879,0.004,0
12/30/2020 12:00:00 AM,25 - 39 Years,64.12121879249214,0.013,0
12/30/2020 12:00:00 AM,40 - 49 Years,62.240549667264176,0.014,0
12/30/2020 12:00:00 AM,50 - 64 Years,55.69108755711975,0.012,0
12/30/2020 12:00:00 AM,65 - 74 Years,40.522193741273796,0.005,0
12/30/2020 12:00:00 AM,75+ Years,52.16992916673491,0.003,0
12/31/2020 12:00:00 AM,<12 Years,21.148892100321213,0,0
12/31/2020 12:00:00 AM,12 - 15 Years,36.18426947932939,0,0
12/31/2020 12:00:00 AM,16 - 17 Years,49.98456931418419,0,0
12/31/2020 12:00:00 AM,18 - 24 Years,68.56141185746007,0.004,0
12/31/2020 12:00:00 AM,25 - 39 Years,67.35017179942419,0.015,0
12/31/2020 12:00:00 AM,40 - 49 Years,65.15761593208977,0.016,0
12/31/2020 12:00:00 AM,50 - 64 Years,57.965879644301346,0.014,0
12/31/2020 12:00:00 AM,65 - 74 Years,42.2789754711917,0.007,0
12/31/2020 12:00:00 AM,75+ Years,54.386763806182536,0.004,0
01/01/2021 12:00:00 AM,<12 Years,21.77538050670257,0,0
01/01/2021 12:00:00 AM,12 - 15 Years,37.38873181238386,0,0
01/01/2021 12:00:00 AM,16 - 17 Years,51.769240316717095,0,0
01/01/2021 12:00:00 AM,18 - 24 Years,70.98134874887184,0.005,0
01/01/2021 12:00:00 AM,25 - 39 Years,69.3193750812225,0.017,0
01/01/2021 12:00:00 AM,40 - 49 Years,67.06701349083446,0.019,0
01/01/2021 12:00:00 AM,50 - 64 Years,59.5847960488614,0.017,0
01/01/2021 12:00:00 AM,65 - 74 Years,43.47250125293698,0.008,0
01/01/2021 12:00:00 AM,75+ Years,55.87516985917029,0.006,0
01/02/2021 12:00:00 AM,<12 Years,22.409603337854072,0,0
01/02/2021 12:00:00 AM,12 - 15 Years,38.4488295111928,0,0
01/02/2021 12:00:00 AM,16 - 17 Years,53.13875136595808,0,0
01/02/2021 12:00:00 AM,18 - 24 Years,72.51490516140157,0.006,0
01/02/2021 12:00:00 AM,25 - 39 Years,70.36804073713141,0.019,0
01/02/2021 12:00:00 AM,40 - 49 Years,67.86280249008117,0.021,0
01/02/2021 12:00:00 AM,50 - 64 Years,60.13941851083592,0.019,0
01/02/2021 12:00:00 AM,65 - 74 Years,43.797815494087885,0.009,0
01/02/2021 12:00:00 AM,75+ Years,56.273386834251326,0.007,0
01/03/2021 12:00:00 AM,<12 Years,22.94446855849685,0,0
01/03/2021 12:00:00 AM,12 - 15 Years,39.310746173641,0,0
01/03/2021 12:00:00 AM,16 - 17 Years,54.754602138521655,0,0
01/03/2021 12:00:00 AM,18 - 24 Years,73.9992970033693,0.006,0
01/03/2021 12:00:00 AM,25 - 39 Years,71.2917446240592,0.02,0
01/03/2021 12:00:00 AM,40 - 49 Years,68.45663257144248,0.022,0
01/03/2021 12:00:00 AM,50 - 64 Years,60.53353418582067,0.02,0
01/03/2021 12:00:00 AM,65 - 74 Years,43.98995024146905,0.01,0
01/03/2021 12:00:00 AM,75+ Years,56.29932702452949,0.008,0
01/04/2021 12:00:00 AM,<12 Years,23.63580714179708,0,0
01/04/2021 12:00:00 AM,12 - 15 Years,40.506666220645435,0,0
01/04/2021 12:00:00 AM,16 - 17 Years,56.43935912739924,0,0
01/04/2021 12:00:00 AM,18 - 24 Years,75.59572733786774,0.006,0
01/04/2021 12:00:00 AM,25 - 39 Years,71.64531044001077,0.02,0
01/04/2021 12:00:00 AM,40 - 49 Years,68.74894153153978,0.022,0
01/04/2021 12:00:00 AM,50 - 64 Years,60.490172380566,0.02,0
01/04/2021 12:00:00 AM,65 - 74 Years,43.927601879736095,0.01,0
01/04/2021 12:00:00 AM,75+ Years,56.05114250132758,0.01,0
01/05/2021 12:00:00 AM,<12 Years,24.54757683104631,0,0
01/05/2021 12:00:00 AM,12 - 15 Years,42.5986720742982,0,0
01/05/2021 12:00:00 AM,16 - 17 Years,59.57631462509463,0,0
01/05/2021 12:00:00 AM,18 - 24 Years,79.5591481031727,0.007,0
